method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
Reweigh,42,g0,305,53506,0.7704918032786885,0.7612695387694784,0.556533773187462,0.377003,0.179531
Reweigh,42,g1,295,53506,0.7898305084745763,0.7587489312799366,0.5406797297062131,0.42032,0.12036
Reweigh,42,g2,125,53506,0.92,0.4791666666666667,0.4848437681021169,0.1051,0.379744
Reweigh,42,g3,200,53506,0.71,0.4648937639280044,0.6795910338917747,0.511216,0.168375
Reweigh,1337,g0,305,53506,0.7475409836065574,0.742209769984033,0.5015557302131516,0.377003,0.124553
Reweigh,1337,g1,295,53506,0.7966101694915254,0.7662680787573742,0.4993055742802256,0.42032,0.078986
Reweigh,1337,g2,125,53506,0.92,0.4791666666666667,0.3050293146669864,0.1051,0.199929
Reweigh,1337,g3,200,53506,0.755,0.5925303454715221,0.5686008445359767,0.511216,0.057385
Reweigh,7,g0,305,53506,0.7672131147540984,0.7593222187127305,0.625892851444494,0.377003,0.24889
Reweigh,7,g1,295,53506,0.7932203389830509,0.7672546105457498,0.5650777933429786,0.42032,0.144758
Reweigh,7,g2,125,53506,0.904,0.4747340425531914,0.6561204383819713,0.1051,0.55102
Reweigh,7,g3,200,53506,0.725,0.5669233161144291,0.8209622195252451,0.511216,0.309746
Reweigh,2024,g0,305,53506,0.7704918032786885,0.7623912717918647,0.5243695254471977,0.377003,0.147367
Reweigh,2024,g1,295,53506,0.8101694915254237,0.7808484446410143,0.5089493728700584,0.42032,0.088629
Reweigh,2024,g2,125,53506,0.92,0.4791666666666667,0.4467580280853935,0.1051,0.341658
Reweigh,2024,g3,200,53506,0.72,0.5724681054970783,0.5560821784147992,0.511216,0.044866
Reweigh,31337,g0,305,53506,0.7737704918032787,0.7694786506395775,0.5890574844813425,0.377003,0.212054
Reweigh,31337,g1,295,53506,0.7966101694915254,0.7651823910171291,0.585816540270765,0.42032,0.165497
Reweigh,31337,g2,125,53506,0.92,0.4791666666666667,0.5901940948240815,0.1051,0.485094
Reweigh,31337,g3,200,53506,0.715,0.5543849785113419,0.6616008584620431,0.511216,0.150385
Reweigh,11,g0,305,53506,0.760655737704918,0.7529255903283063,0.5104696520928629,0.377003,0.133467
Reweigh,11,g1,295,53506,0.7966101694915254,0.7658195506924301,0.5309880003644848,0.42032,0.110668
Reweigh,11,g2,125,53506,0.92,0.4791666666666667,0.3568853402212262,0.1051,0.251785
Reweigh,11,g3,200,53506,0.745,0.5651399657556374,0.5743348962068557,0.511216,0.063119
Reweigh,22,g0,305,53506,0.7672131147540984,0.7613516993412349,0.5624424377316365,0.377003,0.185439
Reweigh,22,g1,295,53506,0.7830508474576271,0.7499410573583721,0.5896853678192848,0.42032,0.169365
Reweigh,22,g2,125,53506,0.896,0.4725177304964538,0.5387915719327975,0.1051,0.433692
Reweigh,22,g3,200,53506,0.735,0.5640393717006341,0.6217597328487318,0.511216,0.110544
Reweigh,33,g0,305,53506,0.7672131147540984,0.7592114409665827,0.4916821998284488,0.377003,0.114679
Reweigh,33,g1,295,53506,0.8067796610169492,0.7777409049899009,0.5302375453192804,0.42032,0.109918
Reweigh,33,g2,125,53506,0.92,0.4791666666666667,0.4261379374305252,0.1051,0.321038
Reweigh,33,g3,200,53506,0.71,0.527402321607765,0.5857305783219635,0.511216,0.074515
Reweigh,44,g0,305,53506,0.7508196721311475,0.7437645380798399,0.5396235800908352,0.377003,0.162621
Reweigh,44,g1,295,53506,0.7966101694915254,0.7687419210263653,0.528265437865319,0.42032,0.107945
Reweigh,44,g2,125,53506,0.912,0.476950354609929,0.4464536728545972,0.1051,0.341354
Reweigh,44,g3,200,53506,0.705,0.5286391196634835,0.6478115736739187,0.511216,0.136596
Reweigh,55,g0,305,53506,0.7704918032786885,0.7606116509395322,0.5930691863353614,0.377003,0.216066
Reweigh,55,g1,295,53506,0.8,0.7697404391444639,0.6340863951678823,0.42032,0.213766
Reweigh,55,g2,125,53506,0.88,0.467480657640232,0.7162878363391783,0.1051,0.611188
Reweigh,55,g3,200,53506,0.73,0.5582507440904025,0.6924244320197414,0.511216,0.181208
FlexMoE,42,g0,305,537250,0.760655737704918,0.7572357604666603,0.9012833634420326,0.377003,0.52428
FlexMoE,42,g1,295,537250,0.8033898305084746,0.7725536383352583,0.6451998578136365,0.42032,0.22488
FlexMoE,42,g2,125,537250,0.92,0.4791666666666667,0.9653934273521366,0.1051,0.860293
FlexMoE,42,g3,200,537250,0.73,0.4782021958141361,0.691865766979754,0.511216,0.18065
FlexMoE,1337,g0,305,537250,0.7704918032786885,0.7649174428629691,0.4993369604731895,0.377003,0.122334
FlexMoE,1337,g1,295,537250,0.7864406779661017,0.7516337395327146,0.5556594429790216,0.42032,0.135339
FlexMoE,1337,g2,125,537250,0.912,0.4769503546099291,0.4975349106882781,0.1051,0.392435
FlexMoE,1337,g3,200,537250,0.74,0.5516794945981733,0.5594045457383617,0.511216,0.048189
